Name,Nummer
"Brig, Zirkusplatz",8583392
"Platta, vitg",8509981
"Möhlin, Hölzlistrasse",8572256
Landquart,8509002
"Spreitenbach, Ratzengasse",8510542
Lac-des-Vaux,8531408
"Olsberg, Chloster",8572248
"Carì, Ticc di Dentro",8580116
"Thalwil, Rainstrasse",8590825
"Rafz, Pflegeheim Peteracker",8583590
"Oensingen, Katholische Kirche",8583576
"Lyss, Stigli",8504706
"Arogno, S. Michele",8505622
"Hoffeld, Ziegelhütte",8506054
"Leukerbad, Schulen",8594502
"Leimbach TG, Kreuzung",8506612
"Büsserach, Alte Mühle",8572187
Ins,8504483
Solduno San Martino,8505467
"Oberriet SG, Moos",8587490
"Wegenstetten, Mitteldorf",8572269
"Eriz, Linden",8507404
"Wuppenau, Abzw. Welfensberg",8587762
Hüswil West,8519593
"Fétigny, Grange-des-Bois",8570403
"Crans-Montana, Essampilles",8570816
"Daviaz, village",8570658
St-Blaise CFF,8504222
"Castasegna, Dogana nuova",8511147
"Umiken, Kirche",8572489
"Villigen, Vor Tor",8572491
"Salvan, La Matze",8509497
"St. Peter, Oberbofel",8509564
"Gersau, Huob",8510015
"Mülligen, Stock",8572518
"Doppleschwand, Spittel",8572850
"Doppleschwand, Hohfuren",8572851
"Hohenrain, Oberebersol",8577115
"Frasco, Torbola",8575516
"Brienz/Brinzauls GR, Dorf",8509970
"Berg FR, Restaurant",8504888
"Le Châtelard FR, village",8504895
"Posieux, Froideville",8504944
"Les Masses, Darbelenne",8594691
"Boudry, Baconnière",8594864
"Aarau, Kettenbrücke",8594930
"Olivone, Scona",8591478
"Andermatt, Gemsstockbahn 2",8595942
"Gryon, Les Combes",8510780
"Payerne, Simplon",8557134
"Vättis, Dorf",8509955
"Siat, vitg",8509879
Birmensdorf Industrie,8502243
"Lelgio, Paese",8575416
Weissbad,8506288
"Wiggen, Wittenmoos",8580947
"Rebeuvelier, poste",8571995
"Ricken SG, Rittmarren",8503979
"Dittingen, Dorf",8572199
"Liestal, Altersheim",8572230
"Hersberg, Schützen",8572236
